,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,0.707,0.707,0.707,0.707,0.353,0.707,0.707,0.258,0.384,0.707,FFT_Accuracy
1,0.432,0.344,0.359,0.351,0.384,0.413,0.358,0.428,0.354,0.374,FFT_Dist2Heaven
2,0.654,0.67,0.59,0.239,0.653,0.618,0.494,0.548,0.693,0.675,FFT_LOC_AUC
3,0.655,0.479,0.396,0.524,0.384,0.277,0.519,0.656,0.56,0.684,SL
4,0.557,0.397,0.455,0.503,0.445,0.58,0.387,0.525,0.563,0.622,NB
5,0.44,0.707,0.343,0.558,0.439,0.704,0.323,0.491,0.7,0.503,EM
6,0.515,0.69,0.39,0.446,0.544,0.704,0.425,0.694,0.218,0.658,SMO
