,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,0.707,0.707,0.707,0.707,0.353,0.707,0.707,0.707,0.707,0.707,FFT_Accuracy
1,0.432,0.344,0.359,0.342,0.384,0.413,0.358,0.416,0.354,0.374,FFT_Dist2Heaven
2,0.654,0.67,0.597,0.239,0.653,0.577,0.577,0.548,0.648,0.707,FFT_LOC_AUC
3,0.606,0.515,0.398,0.526,0.389,0.351,0.519,0.618,0.559,0.68,SL
4,0.519,0.399,0.403,0.513,0.431,0.577,0.393,0.508,0.554,0.605,NB
5,0.44,0.707,0.344,0.558,0.439,0.704,0.336,0.491,0.7,0.503,EM
6,0.693,0.638,0.516,0.503,0.621,0.343,0.699,0.646,0.707,0.694,SMO
