,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.267, 0.49, 0.49, 0.545, 0.49, 0.545, 0.545, 0.564, 0.588, 0.638, 0.678, 0.713, 0.734, 0.771, 0.796, 0.811]","[0.288, 0.44, 0.44, 0.489, 0.582, 0.628, 0.628, 0.649, 0.645, 0.692, 0.732, 0.744, 0.76, 0.789, 0.794, 0.8]","[0.27, 0.386, 0.444, 0.49, 0.499, 0.565, 0.629, 0.647, 0.694, 0.736, 0.778, 0.801, 0.817, 0.828, 0.828, 0.828]","[0.369, 0.455, 0.538, 0.58, 0.621, 0.678, 0.718, 0.747, 0.743, 0.788, 0.822, 0.863, 0.868, 0.862, 0.836, 0.773]","[0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.66, 0.661, 0.651, 0.651, 0.619, 0.613, 0.613, 0.559]","[0.504, 0.565, 0.589, 0.602, 0.619, 0.628, 0.637, 0.642, 0.633, 0.631, 0.642, 0.642, 0.621, 0.61, 0.588, 0.565]","[0.228, 0.322, 0.377, 0.441, 0.51, 0.601, 0.611, 0.646, 0.658, 0.718, 0.757, 0.793, 0.793, 0.822, 0.835, 0.832]","[0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.585, 0.572, 0.535, 0.507, 0.482, 0.449, 0.383, 0.325]","[0.411, 0.473, 0.533, 0.563, 0.601, 0.619, 0.638, 0.658, 0.691, 0.707, 0.705, 0.712, 0.712, 0.706, 0.683, 0.651]","[0.262, 0.63, 0.63, 0.689, 0.63, 0.689, 0.666, 0.708, 0.649, 0.681, 0.749, 0.751, 0.879, 0.879, 0.879, 0.879]",FFT_Accuracy
1,"[0.707, 0.65, 0.6, 0.554, 0.5, 0.468, 0.443, 0.433, 0.533, 0.524, 0.52, 0.542, 0.61, 0.634, 0.656, 0.707]","[0.707, 0.649, 0.588, 0.539, 0.417, 0.358, 0.358, 0.344, 0.63, 0.604, 0.584, 0.598, 0.622, 0.629, 0.645, 0.707]","[0.707, 0.646, 0.577, 0.53, 0.46, 0.403, 0.372, 0.359, 0.566, 0.547, 0.526, 0.524, 0.668, 0.667, 0.697, 0.707]","[0.707, 0.641, 0.569, 0.527, 0.436, 0.373, 0.351, 0.358, 0.547, 0.499, 0.478, 0.481, 0.657, 0.655, 0.679, 0.707]","[0.707, 0.606, 0.552, 0.505, 0.438, 0.406, 0.395, 0.405, 0.491, 0.488, 0.485, 0.488, 0.618, 0.633, 0.667, 0.707]","[0.707, 0.614, 0.556, 0.519, 0.446, 0.428, 0.421, 0.417, 0.525, 0.49, 0.479, 0.507, 0.601, 0.621, 0.667, 0.707]","[0.707, 0.647, 0.591, 0.539, 0.473, 0.42, 0.378, 0.358, 0.617, 0.596, 0.577, 0.584, 0.642, 0.656, 0.671, 0.707]","[0.707, 0.628, 0.564, 0.519, 0.46, 0.438, 0.428, 0.438, 0.498, 0.487, 0.498, 0.518, 0.583, 0.613, 0.646, 0.707]","[0.707, 0.641, 0.566, 0.514, 0.451, 0.401, 0.374, 0.354, 0.614, 0.586, 0.585, 0.582, 0.663, 0.67, 0.685, 0.707]","[0.707, 0.561, 0.561, 0.514, 0.443, 0.39, 0.39, 0.382, 0.615, 0.6, 0.586, 0.601, 0.602, 0.62, 0.62, 0.707]",FFT_Dist2Heaven
2,"[0.73, 0.729, 0.725, 0.724, 0.725, 0.724, 0.724, 0.724, 0.723, 0.723, 0.723, 0.723, 0.722, 0.722, 0.722, 0.722]","[0.757, 0.757, 0.759, 0.758, 0.758, 0.759, 0.758, 0.758, 0.758, 0.757, 0.758, 0.758, 0.758, 0.758, 0.757, 0.757]","[0.728, 0.728, 0.736, 0.738, 0.743, 0.742, 0.738, 0.738, 0.737, 0.736, 0.736, 0.737, 0.737, 0.737, 0.728, 0.737]","[0.612, 0.578, 0.644, 0.621, 0.657, 0.654, 0.657, 0.649, 0.675, 0.676, 0.647, 0.668, 0.588, 0.619, 0.572, 0.579]","[0.757, 0.757, 0.759, 0.758, 0.762, 0.76, 0.759, 0.758, 0.758, 0.758, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757]","[0.749, 0.749, 0.75, 0.75, 0.751, 0.751, 0.75, 0.75, 0.751, 0.751, 0.751, 0.751, 0.75, 0.75, 0.749, 0.749]","[0.612, 0.629, 0.657, 0.65, 0.617, 0.617, 0.606, 0.62, 0.588, 0.588, 0.589, 0.589, 0.589, 0.589, 0.587, 0.589]","[0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862]","[0.746, 0.746, 0.747, 0.747, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746]","[0.844, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]",FFT_LOC_AUC
