,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,1.0,1.0,1.0,1.0,0.249,1.0,1.0,1.0,1.0,1.0,FFT_Accuracy
1,0.335,0.243,0.191,0.11,0.216,0.242,0.294,0.283,0.3,0.35,FFT_Dist2Heaven
2,2.0,2.0,0.712,0.114,2.0,2.0,0.666,2.0,2.0,2.0,FFT_LOC_AUC
3,0.708,0.494,0.317,0.56,0.324,0.264,0.521,0.754,0.612,0.924,SL
4,0.539,0.319,0.329,0.518,0.383,0.655,0.31,0.321,0.615,0.73,NB
5,0.387,1.0,0.237,0.622,0.385,0.992,0.226,0.482,0.979,0.507,EM
6,1.0,0.366,0.433,0.461,1.0,0.406,0.763,0.73,0.922,0.937,SMO
