,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.288, 0.73, 0.73, 0.754, 0.73, 0.754, 0.754, 0.757, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902]","[0.341, 0.538, 0.538, 0.59, 0.538, 0.59, 0.59, 0.613, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.393, 0.639, 0.639, 0.676, 0.639, 0.676, 0.676, 0.69, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928]","[0.571, 0.785, 0.785, 0.801, 0.785, 0.801, 0.801, 0.803, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931]","[0.683, 0.687, 0.687, 0.688, 0.687, 0.688, 0.688, 0.688, 0.677, 0.677, 0.677, 0.669, 0.677, 0.669, 0.669, 0.614]","[0.692, 0.692, 0.692, 0.692, 0.692, 0.692, 0.692, 0.692, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683]","[0.352, 0.732, 0.732, 0.774, 0.732, 0.774, 0.774, 0.787, 0.955, 0.955, 0.955, 0.955, 0.955, 0.955, 0.955, 0.955]","[0.872, 0.872, 0.872, 0.872, 0.872, 0.872, 0.872, 0.872, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.607]","[0.532, 0.633, 0.633, 0.652, 0.633, 0.652, 0.652, 0.658, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779]","[0.398, 0.803, 0.803, 0.834, 0.803, 0.834, 0.834, 0.839, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912]",FFT_Accuracy
1,"[1.0, 0.721, 0.583, 0.483, 0.425, 0.348, 0.348, 0.335, 0.643, 0.615, 0.602, 0.648, 0.694, 0.73, 0.827, 1.0]","[1.0, 0.679, 0.598, 0.481, 0.344, 0.251, 0.251, 0.243, 0.613, 0.565, 0.552, 0.588, 0.783, 0.8, 0.899, 1.0]","[1.0, 0.653, 0.543, 0.422, 0.287, 0.206, 0.206, 0.191, 0.796, 0.733, 0.722, 0.715, 0.841, 0.846, 0.876, 1.0]","[1.0, 0.678, 0.454, 0.339, 0.189, 0.124, 0.124, 0.11, 0.912, 0.87, 0.815, 0.865, 0.925, 0.904, 0.943, 1.0]","[1.0, 0.71, 0.547, 0.452, 0.229, 0.218, 0.218, 0.216, 0.679, 0.592, 0.59, 0.6, 0.743, 0.772, 0.889, 1.0]","[1.0, 0.668, 0.517, 0.42, 0.266, 0.242, 0.242, 0.242, 0.61, 0.55, 0.526, 0.548, 0.774, 0.771, 0.911, 1.0]","[1.0, 0.824, 0.701, 0.598, 0.397, 0.308, 0.308, 0.294, 0.571, 0.537, 0.522, 0.543, 0.683, 0.714, 0.806, 1.0]","[1.0, 0.479, 0.36, 0.322, 0.283, 0.287, 0.287, 0.288, 0.468, 0.385, 0.379, 0.463, 0.557, 0.6, 0.767, 1.0]","[1.0, 0.755, 0.545, 0.44, 0.323, 0.304, 0.3, 0.304, 0.483, 0.462, 0.462, 0.46, 0.694, 0.709, 0.889, 1.0]","[1.0, 0.814, 0.693, 0.614, 0.463, 0.413, 0.401, 0.413, 0.388, 0.35, 0.351, 0.437, 0.594, 0.675, 0.78, 1.0]",FFT_Dist2Heaven
2,"[0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722]","[0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757]","[0.73, 0.727, 0.737, 0.736, 0.741, 0.741, 0.739, 0.742, 0.736, 0.738, 0.738, 0.738, 0.741, 0.741, 0.727, 0.731]","[0.582, 0.582, 0.663, 0.646, 0.657, 0.651, 0.664, 0.66, 0.675, 0.676, 0.669, 0.666, 0.604, 0.607, 0.572, 0.583]","[0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757]","[0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749]","[0.651, 0.62, 0.67, 0.66, 0.664, 0.664, 0.622, 0.636, 0.65, 0.648, 0.66, 0.66, 0.586, 0.64, 0.586, 0.64]","[0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862]","[0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746]","[0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]",FFT_LOC_AUC
