,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.226, 0.322, 0.322, 0.363, 0.411, 0.442, 0.486, 0.526, 0.571, 0.619, 0.665, 0.707, 0.732, 0.768, 0.792, 0.808]","[0.257, 0.36, 0.496, 0.548, 0.536, 0.58, 0.58, 0.605, 0.64, 0.68, 0.71, 0.733, 0.763, 0.778, 0.784, 0.793]","[0.26, 0.337, 0.413, 0.478, 0.481, 0.53, 0.58, 0.626, 0.669, 0.712, 0.754, 0.788, 0.809, 0.817, 0.812, 0.799]","[0.32, 0.379, 0.441, 0.473, 0.545, 0.6, 0.64, 0.674, 0.726, 0.76, 0.781, 0.794, 0.803, 0.802, 0.785, 0.75]","[0.563, 0.592, 0.61, 0.627, 0.642, 0.655, 0.643, 0.629, 0.626, 0.635, 0.635, 0.616, 0.6, 0.579, 0.54, 0.496]","[0.527, 0.578, 0.578, 0.586, 0.604, 0.62, 0.634, 0.636, 0.634, 0.633, 0.636, 0.626, 0.616, 0.603, 0.587, 0.566]","[0.211, 0.276, 0.347, 0.406, 0.433, 0.486, 0.541, 0.583, 0.624, 0.681, 0.718, 0.761, 0.789, 0.814, 0.828, 0.825]","[0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.785, 0.59, 0.572, 0.535, 0.491, 0.443, 0.416, 0.413, 0.339]","[0.395, 0.443, 0.505, 0.527, 0.572, 0.601, 0.633, 0.656, 0.677, 0.69, 0.697, 0.707, 0.71, 0.704, 0.683, 0.651]","[0.189, 0.346, 0.346, 0.399, 0.49, 0.571, 0.651, 0.7, 0.594, 0.65, 0.692, 0.726, 0.76, 0.798, 0.831, 0.857]",FFT_Accuracy
1,"[0.707, 0.672, 0.602, 0.554, 0.515, 0.478, 0.457, 0.441, 0.54, 0.542, 0.526, 0.552, 0.61, 0.634, 0.656, 0.707]","[0.707, 0.649, 0.594, 0.546, 0.417, 0.37, 0.37, 0.345, 0.625, 0.61, 0.596, 0.605, 0.622, 0.629, 0.653, 0.707]","[0.707, 0.646, 0.586, 0.531, 0.478, 0.425, 0.382, 0.363, 0.59, 0.567, 0.541, 0.539, 0.672, 0.667, 0.698, 0.707]","[0.707, 0.644, 0.569, 0.528, 0.451, 0.401, 0.358, 0.362, 0.554, 0.521, 0.508, 0.519, 0.665, 0.662, 0.679, 0.707]","[0.707, 0.609, 0.561, 0.505, 0.447, 0.422, 0.418, 0.428, 0.529, 0.501, 0.493, 0.504, 0.625, 0.635, 0.667, 0.707]","[0.707, 0.614, 0.565, 0.52, 0.463, 0.434, 0.419, 0.426, 0.528, 0.493, 0.494, 0.516, 0.601, 0.621, 0.667, 0.707]","[0.707, 0.656, 0.597, 0.545, 0.492, 0.443, 0.397, 0.363, 0.631, 0.623, 0.613, 0.617, 0.658, 0.667, 0.689, 0.707]","[0.707, 0.634, 0.574, 0.524, 0.46, 0.438, 0.428, 0.438, 0.508, 0.491, 0.501, 0.518, 0.586, 0.615, 0.663, 0.707]","[0.707, 0.641, 0.567, 0.516, 0.455, 0.401, 0.376, 0.356, 0.614, 0.595, 0.585, 0.582, 0.664, 0.67, 0.685, 0.707]","[0.707, 0.564, 0.564, 0.528, 0.443, 0.39, 0.39, 0.386, 0.625, 0.603, 0.596, 0.609, 0.61, 0.624, 0.624, 0.707]",FFT_Dist2Heaven
2,"[0.729, 0.729, 0.725, 0.724, 0.722, 0.722, 0.723, 0.723, 0.723, 0.723, 0.722, 0.722, 0.722, 0.722, 0.722, 0.722]","[0.757, 0.757, 0.758, 0.757, 0.758, 0.758, 0.759, 0.758, 0.758, 0.758, 0.757, 0.757, 0.758, 0.758, 0.757, 0.757]","[0.727, 0.727, 0.732, 0.732, 0.732, 0.732, 0.736, 0.736, 0.735, 0.735, 0.727, 0.727, 0.727, 0.727, 0.727, 0.727]","[0.604, 0.6, 0.625, 0.633, 0.644, 0.649, 0.625, 0.625, 0.595, 0.595, 0.595, 0.585, 0.594, 0.592, 0.567, 0.567]","[0.757, 0.757, 0.758, 0.758, 0.758, 0.758, 0.757, 0.757, 0.758, 0.758, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757]","[0.749, 0.749, 0.75, 0.75, 0.751, 0.751, 0.749, 0.75, 0.75, 0.75, 0.751, 0.751, 0.75, 0.75, 0.749, 0.749]","[0.616, 0.612, 0.621, 0.621, 0.624, 0.624, 0.594, 0.594, 0.587, 0.588, 0.589, 0.589, 0.587, 0.586, 0.586, 0.586]","[0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862]","[0.746, 0.746, 0.747, 0.747, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746]","[0.844, 0.845, 0.846, 0.846, 0.845, 0.844, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]",FFT_LOC_AUC
