,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.288, 0.73, 0.73, 0.754, 0.73, 0.754, 0.754, 0.757, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902, 0.902]","[0.341, 0.536, 0.536, 0.594, 0.536, 0.594, 0.594, 0.611, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.393, 0.639, 0.639, 0.676, 0.639, 0.676, 0.676, 0.69, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928, 0.928]","[0.571, 0.785, 0.785, 0.801, 0.785, 0.801, 0.801, 0.803, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931]","[0.683, 0.687, 0.687, 0.688, 0.687, 0.688, 0.688, 0.688, 0.677, 0.677, 0.671, 0.661, 0.677, 0.661, 0.669, 0.614]","[0.583, 0.654, 0.654, 0.654, 0.654, 0.654, 0.654, 0.654, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683, 0.683]","[0.352, 0.732, 0.732, 0.774, 0.732, 0.774, 0.774, 0.787, 0.904, 0.904, 0.904, 0.904, 0.904, 0.904, 0.904, 0.904]","[0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.607]","[0.532, 0.633, 0.633, 0.652, 0.633, 0.652, 0.652, 0.658, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779, 0.779]","[0.275, 0.596, 0.596, 0.664, 0.596, 0.664, 0.664, 0.681, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912, 0.912]",FFT_Accuracy
1,"[0.707, 0.649, 0.596, 0.554, 0.474, 0.437, 0.437, 0.432, 0.533, 0.523, 0.516, 0.531, 0.608, 0.631, 0.656, 0.707]","[0.707, 0.649, 0.583, 0.54, 0.417, 0.358, 0.358, 0.344, 0.616, 0.6, 0.584, 0.598, 0.622, 0.629, 0.645, 0.707]","[0.707, 0.646, 0.577, 0.53, 0.418, 0.365, 0.37, 0.359, 0.545, 0.527, 0.526, 0.523, 0.666, 0.664, 0.696, 0.707]","[0.707, 0.636, 0.569, 0.524, 0.407, 0.354, 0.351, 0.342, 0.499, 0.486, 0.478, 0.481, 0.65, 0.655, 0.679, 0.707]","[0.707, 0.606, 0.543, 0.5, 0.422, 0.388, 0.384, 0.398, 0.491, 0.484, 0.472, 0.484, 0.614, 0.625, 0.667, 0.707]","[0.707, 0.614, 0.547, 0.517, 0.422, 0.415, 0.413, 0.415, 0.507, 0.495, 0.482, 0.495, 0.602, 0.617, 0.667, 0.707]","[0.707, 0.647, 0.586, 0.539, 0.427, 0.37, 0.37, 0.358, 0.606, 0.59, 0.577, 0.584, 0.637, 0.654, 0.671, 0.707]","[0.707, 0.628, 0.564, 0.519, 0.451, 0.416, 0.425, 0.438, 0.494, 0.487, 0.485, 0.515, 0.583, 0.613, 0.646, 0.707]","[0.707, 0.641, 0.566, 0.514, 0.4, 0.36, 0.368, 0.354, 0.598, 0.583, 0.576, 0.58, 0.658, 0.667, 0.684, 0.707]","[0.707, 0.561, 0.561, 0.514, 0.439, 0.384, 0.384, 0.374, 0.582, 0.564, 0.56, 0.56, 0.602, 0.618, 0.62, 0.707]",FFT_Dist2Heaven
2,"[0.732, 0.733, 0.725, 0.727, 0.725, 0.725, 0.724, 0.724, 0.723, 0.723, 0.723, 0.723, 0.723, 0.724, 0.722, 0.723]","[0.76, 0.761, 0.759, 0.759, 0.759, 0.759, 0.76, 0.761, 0.758, 0.757, 0.758, 0.758, 0.758, 0.758, 0.757, 0.757]","[0.728, 0.728, 0.739, 0.736, 0.741, 0.741, 0.739, 0.742, 0.737, 0.736, 0.739, 0.738, 0.741, 0.741, 0.727, 0.727]","[0.582, 0.582, 0.663, 0.646, 0.657, 0.651, 0.664, 0.66, 0.675, 0.676, 0.669, 0.666, 0.604, 0.607, 0.572, 0.583]","[0.757, 0.757, 0.759, 0.758, 0.761, 0.759, 0.759, 0.758, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757, 0.757]","[0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.749, 0.751, 0.751, 0.751, 0.751, 0.751, 0.751, 0.749, 0.749]","[0.651, 0.62, 0.67, 0.66, 0.664, 0.664, 0.622, 0.636, 0.65, 0.648, 0.66, 0.66, 0.638, 0.638, 0.608, 0.623]","[0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.864, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862]","[0.746, 0.746, 0.747, 0.747, 0.747, 0.748, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746]","[0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]",FFT_LOC_AUC
