,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.287, 0.519, 0.502, 0.575, 0.502, 0.554, 0.575, 0.595, 0.732, 0.751, 0.751, 0.753, 0.791, 0.793, 0.83, 0.832]","[0.341, 0.536, 0.536, 0.594, 0.536, 0.594, 0.594, 0.611, 0.892, 0.892, 0.892, 0.892, 0.892, 0.892, 0.892, 0.892]","[0.309, 0.44, 0.523, 0.573, 0.505, 0.563, 0.629, 0.647, 0.711, 0.762, 0.782, 0.801, 0.824, 0.827, 0.832, 0.832]","[0.539, 0.692, 0.692, 0.733, 0.692, 0.733, 0.733, 0.747, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931, 0.931]","[0.683, 0.687, 0.685, 0.688, 0.685, 0.685, 0.688, 0.688, 0.669, 0.674, 0.663, 0.643, 0.631, 0.617, 0.565, 0.513]","[0.583, 0.654, 0.654, 0.654, 0.654, 0.654, 0.654, 0.654, 0.675, 0.675, 0.675, 0.675, 0.68, 0.68, 0.68, 0.68]","[0.241, 0.335, 0.414, 0.491, 0.57, 0.633, 0.631, 0.652, 0.665, 0.742, 0.778, 0.789, 0.797, 0.822, 0.838, 0.839]","[0.788, 0.788, 0.788, 0.788, 0.788, 0.788, 0.788, 0.788, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.817, 0.607]","[0.497, 0.592, 0.573, 0.614, 0.6, 0.645, 0.638, 0.658, 0.691, 0.707, 0.705, 0.712, 0.712, 0.706, 0.683, 0.651]","[0.262, 0.63, 0.63, 0.689, 0.63, 0.689, 0.676, 0.708, 0.65, 0.723, 0.755, 0.765, 0.8, 0.834, 0.853, 0.87]",FFT_Accuracy
1,"[0.707, 0.649, 0.6, 0.554, 0.496, 0.467, 0.441, 0.432, 0.534, 0.523, 0.516, 0.531, 0.608, 0.631, 0.656, 0.707]","[0.707, 0.649, 0.583, 0.54, 0.417, 0.358, 0.358, 0.344, 0.616, 0.6, 0.584, 0.598, 0.622, 0.629, 0.645, 0.707]","[0.707, 0.646, 0.577, 0.53, 0.459, 0.403, 0.372, 0.359, 0.545, 0.527, 0.526, 0.523, 0.666, 0.664, 0.697, 0.707]","[0.707, 0.636, 0.569, 0.524, 0.407, 0.354, 0.351, 0.354, 0.499, 0.486, 0.478, 0.481, 0.653, 0.655, 0.679, 0.707]","[0.707, 0.606, 0.543, 0.5, 0.422, 0.388, 0.384, 0.41, 0.491, 0.484, 0.477, 0.485, 0.614, 0.625, 0.667, 0.707]","[0.707, 0.614, 0.547, 0.517, 0.423, 0.416, 0.413, 0.415, 0.507, 0.495, 0.483, 0.495, 0.602, 0.617, 0.667, 0.707]","[0.707, 0.647, 0.586, 0.539, 0.455, 0.414, 0.37, 0.358, 0.611, 0.596, 0.577, 0.584, 0.637, 0.654, 0.671, 0.707]","[0.707, 0.628, 0.564, 0.519, 0.46, 0.438, 0.428, 0.438, 0.498, 0.487, 0.485, 0.515, 0.583, 0.613, 0.646, 0.707]","[0.707, 0.641, 0.566, 0.514, 0.432, 0.395, 0.374, 0.354, 0.599, 0.58, 0.578, 0.58, 0.658, 0.667, 0.684, 0.707]","[0.707, 0.561, 0.561, 0.514, 0.439, 0.384, 0.384, 0.374, 0.584, 0.566, 0.56, 0.56, 0.602, 0.618, 0.62, 0.707]",FFT_Dist2Heaven
2,"[0.732, 0.733, 0.725, 0.727, 0.725, 0.724, 0.724, 0.724, 0.723, 0.723, 0.723, 0.723, 0.723, 0.723, 0.722, 0.723]","[0.76, 0.761, 0.759, 0.758, 0.76, 0.759, 0.761, 0.761, 0.758, 0.757, 0.758, 0.758, 0.759, 0.759, 0.757, 0.757]","[0.728, 0.728, 0.739, 0.738, 0.745, 0.745, 0.739, 0.74, 0.736, 0.737, 0.738, 0.737, 0.739, 0.74, 0.727, 0.727]","[0.612, 0.588, 0.663, 0.646, 0.658, 0.645, 0.67, 0.665, 0.675, 0.676, 0.669, 0.668, 0.604, 0.607, 0.572, 0.579]","[0.757, 0.757, 0.759, 0.758, 0.761, 0.759, 0.759, 0.758, 0.758, 0.758, 0.758, 0.758, 0.757, 0.757, 0.757, 0.757]","[0.749, 0.749, 0.75, 0.75, 0.751, 0.751, 0.75, 0.751, 0.751, 0.751, 0.751, 0.751, 0.75, 0.75, 0.749, 0.749]","[0.63, 0.62, 0.664, 0.668, 0.646, 0.646, 0.622, 0.63, 0.608, 0.611, 0.611, 0.612, 0.609, 0.604, 0.621, 0.59]","[0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.864, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862, 0.862]","[0.746, 0.746, 0.747, 0.747, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746, 0.746]","[0.844, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]",FFT_LOC_AUC
