,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,0.707,0.707,0.407,0.246,0.707,0.356,0.542,0.707,0.384,0.707,FFT_Accuracy
1,0.433,0.344,0.359,0.351,0.395,0.417,0.358,0.428,0.354,0.382,FFT_Dist2Heaven
2,0.707,0.654,0.59,0.239,0.654,0.618,0.569,0.707,0.693,0.673,FFT_LOC_AUC
3,0.662,0.514,0.399,0.515,0.37,0.42,0.543,0.707,0.57,0.688,SL
4,0.571,0.396,0.456,0.511,0.425,0.587,0.426,0.496,0.564,0.653,NB
5,0.44,0.707,0.403,0.558,0.44,0.704,0.33,0.5,0.699,0.503,EM
6,0.696,0.484,0.707,0.651,0.468,0.501,0.658,0.669,0.541,0.681,SMO
