,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,"[0.765, 0.521, 0.765, 0.667, 0.765, 0.667, 0.765, 0.712]","[0.58, 0.318, 0.58, 0.446, 0.58, 0.446, 0.58, 0.517]","[0.593, 0.331, 0.593, 0.449, 0.593, 0.449, 0.593, 0.535]","[0.483, 0.702, 0.59, 0.58, 0.59, 0.58, 0.527, 0.541]","[0.635, 0.682, 0.685, 0.65, 0.685, 0.65, 0.685, 0.65]","[0.622, 0.615, 0.622, 0.615, 0.622, 0.615, 0.622, 0.615]","[0.695, 0.578, 0.695, 0.664, 0.695, 0.664, 0.711, 0.688]","[0.62, 0.415, 0.62, 0.415, 0.62, 0.415, 0.62, 0.415]","[0.557, 0.777, 0.576, 0.68, 0.576, 0.68, 0.571, 0.628]","[0.352, 0.711, 0.352, 0.527, 0.352, 0.527, 0.352, 0.512]",FFT_Accuracy
1,"[0.597, 0.745, 0.47, 0.588, 0.364, 0.454, 0.39, 0.398]","[0.457, 0.667, 0.341, 0.453, 0.278, 0.278, 0.205, 0.214]","[0.66, 0.813, 0.529, 0.649, 0.394, 0.506, 0.394, 0.438]","[0.304, 0.487, 0.375, 0.538, 0.361, 0.391, 0.286, 0.385]","[0.697, 0.808, 0.415, 0.565, 0.267, 0.254, 0.347, 0.347]","[0.367, 0.643, 0.157, 0.303, 0.093, 0.118, 0.304, 0.342]","[0.683, 0.77, 0.399, 0.538, 0.224, 0.255, 0.219, 0.231]","[0.393, 0.72, 0.329, 0.499, 0.316, 0.336, 0.304, 0.302]","[0.725, 0.833, 0.113, 0.052, 0.127, 0.125, 0.155, 0.17]","[0.506, 0.723, 0.426, 0.565, 0.392, 0.413, 0.448, 0.465]",FFT_Dist2Heaven
2,"[0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73, 0.73]","[0.579, 0.579, 0.579, 0.579, 0.579, 0.579, 0.579, 0.579]","[0.715, 0.669, 0.732, 0.72, 0.763, 0.76, 0.698, 0.693]","[0.684, 0.684, 0.581, 0.613, 0.654, 0.672, 0.618, 0.624]","[0.791, 0.791, 0.791, 0.791, 0.791, 0.791, 0.791, 0.791]","[0.759, 0.759, 0.759, 0.759, 0.759, 0.759, 0.759, 0.759]","[0.649, 0.619, 0.554, 0.565, 0.575, 0.575, 0.577, 0.574]","[0.816, 0.816, 0.816, 0.816, 0.816, 0.816, 0.816, 0.816]","[0.838, 0.838, 0.838, 0.838, 0.838, 0.838, 0.838, 0.838]","[0.871, 0.871, 0.871, 0.871, 0.871, 0.871, 0.871, 0.871]",FFT_LOC_AUC
