,@camel,@ivy,@jedit,@log4j,@lucene,@poi,@synapse,@velocity,@xalan,@xerces,Learners
0,0.707,0.707,0.437,0.357,0.388,0.362,0.556,0.707,0.445,0.707,FFT_Accuracy
1,0.441,0.345,0.363,0.358,0.418,0.419,0.363,0.428,0.356,0.386,FFT_Dist2Heaven
2,0.707,0.636,0.631,0.47,0.675,0.618,0.531,0.707,0.693,0.639,FFT_LOC_AUC
3,0.673,0.584,0.707,0.543,0.451,0.52,0.601,0.707,0.585,0.707,SL
4,0.604,0.514,0.645,0.58,0.518,0.637,0.457,0.704,0.573,0.689,NB
5,0.439,0.707,0.403,0.577,0.452,0.704,0.346,0.61,0.698,0.46,EM
6,0.473,0.654,0.707,0.439,0.472,0.417,0.32,0.707,0.476,0.707,SMO
